smiles,result
CC1(C)CC[C@@]2(CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@@H](O)[C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]2C1)C(O)=O,6.00
CC1(C)CC[C@@]2(CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@@H](O)[C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]2C1)C(O)=O,6.00
CC(=C)[C@@H]1CC[C@@]2(CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]12)C(O)=O,8.00
CC(=C)[C@@H]1CC[C@@]2(CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]12)C(O)=O,1.33
CCCCC[C@H](O)CC(=O)CCc1ccc(O)c(OC)c1,0.9
CCCCC\C=C\C(=O)CCc1ccc(O)c(OC)c1,0.7
CCCCCCC[C@H](O)CC(=O)CCc1ccc(O)c(OC)c1,1.1
CCCCCCC\C=C\C(=O)CCc1ccc(O)c(OC)c1,0.9
CCCCCCCCC[C@H](O)CC(=O)CCc1ccc(O)c(OC)c1,1.5
CCCCCCCCC\C=C\C(=O)CCc1ccc(O)c(OC)c1,1.4
COc1cc(CCC(C)=O)ccc1O,0.7
COc1ccc(C(C)=O)c(O)c1,0.18
COc1ccc(C(C)=O)c(O)c1,0.19
C[C@H]1CC[C@@H]2N(C1)C[C@H]1[C@@H]3C[C@H]4[C@@H](C[C@H](O)[C@H]5C[C@@H](O)CC[C@]45C)[C@@H]3CC[C@@H]1[C@]2(C)O,1.83
C[C@H]1CCC2N(C1)C[C@H]1C3CC4[C@@H](CC(=O)C5C[C@@H](O)CC[C@]45C)C3CCC1[C@]2(C)O,2.08
C[C@H]1CC[C@@H]2N(C1)C[C@H]1[C@@H]3C[C@H]4[C@@H](C[C@H](O)[C@H]5C[C@@H](O)CC[C@]45C)[C@@H]3CC[C@@H]1[C@]2(C)O,1.91
C[C@H]1CCC2N(C1)C[C@H]1C3CC4[C@@H](CC(=O)C5C[C@@H](O)CC[C@]45C)C3CCC1[C@]2(C)O,2.17
